"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","平成31年(2019)","令和2年(2020)","経度","緯度","分類"
"100066","302015","和歌山5-13","地価公示","商業","和歌山市","和歌浦中１丁目１２２８番９","和歌浦中１－５－８","135.1675025","34.19019836","273,000","254,000","242,000","226,000","211,000","200,000","182,000","162,000","146,000","135,000","125,000","116,000","105,000","98,700","96,200","94,200","91,100","86,800","82,500","79,500","75,700","73,800","72,200","71,300","70,500","70,000","69,300","68,600","135.167502500004","34.1901983599971","R02地価公示標準地"
"100067","302015","和歌山5-14","地価公示","商業","和歌山市","太田３丁目１番２外","太田３－１－２８","135.1978258","34.22981881","691,000","630,000","560,000","476,000","403,000","350,000","294,000","265,000","251,000","229,000","207,000","187,000","169,000","160,000","158,000","158,000","157,000","153,000","146,000","140,000","138,000","138,000","140,000","142,000","143,000","144,000","145,000","146,000","135.197825800002","34.2298188099975","R02地価公示標準地"
"100068","302015","和歌山5-15","地価公示","商業","和歌山市","築港５丁目７番１２","","135.1513202","34.22072328","","258,000","242,000","220,000","202,000","190,000","168,000","157,000","148,000","137,000","126,000","110,000","96,800","90,200","85,200","81,800","78,500","74,400","70,800","68,000","65,500","63,800","63,000","62,100","61,300","60,600","60,000","59,700","135.151320200003","34.2207232799997","R02地価公示標準地"
"100069","302015","和歌山5-16","地価公示","商業","和歌山市","新生町６６番７","新生町１０－１０","135.1897298","34.22261584","635,000","558,000","500,000","418,000","352,000","314,000","268,000","240,000","223,000","210,000","192,000","175,000","161,000","154,000","152,000","154,000","154,000","150,000","146,000","143,000","141,000","140,000","142,000","143,000","144,000","144,000","144,000","145,000","135.189729800002","34.2226158399971","R02地価公示標準地"
"100070","302015","和歌山5-17","地価公示","商業","和歌山市","小松原通３丁目６７番外","","135.1689518","34.22138341","750,000","660,000","587,000","498,000","428,000","375,000","315,000","280,000","259,000","238,000","216,000","194,000","184,000","179,000","179,000","182,000","180,000","176,000","171,000","168,000","166,000","166,000","168,000","171,000","172,000","173,000","174,000","175,000","135.168951800005","34.2213834099995","R02地価公示標準地"
"100071","302015","和歌山5-18","地価公示","商業","和歌山市","畑屋敷西ノ丁６８番１外","","135.1808582","34.23518529","700,000","590,000","520,000","435,000","370,000","330,000","290,000","253,000","226,000","209,000","186,000","164,000","149,000","142,000","135,000","134,000","130,000","126,000","122,000","119,000","117,000","116,000","116,000","117,000","118,000","119,000","119,000","120,000","135.180858200004","34.2351852899971","R02地価公示標準地"
"100072","302015","和歌山5-19","地価公示","商業","和歌山市","三番丁７７番","","135.1770316","34.22777687","","410,000","370,000","323,000","290,000","259,000","234,000","215,000","200,000","190,000","171,000","156,000","147,000","139,000","134,000","135,000","134,000","132,000","128,000","125,000","123,000","124,000","126,000","128,000","129,000","131,000","133,000","134,000","135.177031600002","34.2277768699958","R02地価公示標準地"
"100073","302015","和歌山5-20","地価公示","商業","和歌山市","屋形町２丁目７番","","135.1773415","34.2296227","","1,250,000","1,150,000","960,000","816,000","685,000","590,000","510,000","465,000","397,000","330,000","273,000","228,000","214,000","210,000","212,000","210,000","202,000","193,000","185,000","181,000","181,000","184,000","186,000","189,000","192,000","194,000","196,000","135.177341500003","34.2296226999968","R02地価公示標準地"
"100074","302015","和歌山5-21","地価公示","商業","和歌山市","紀三井寺字南前浜６２１番１","","135.185684","34.18205665","","","","","","","","","169,000","161,000","149,000","137,000","126,000","120,000","118,000","118,000","117,000","115,000","112,000","108,000","105,000","104,000","104,000","106,000","107,000","108,000","109,000","109,000","135.185684000003","34.1820566499978","R02地価公示標準地"
"100076","302015","和歌山5-22","地価公示","商業","和歌山市","向字大西１５６番１","","135.14451","34.2580315","","","","","","","","","","","","108,000","96,100","90,000","88,200","87,500","85,500","81,500","75,800","72,000","69,000","67,200","66,600","66,100","65,600","64,900","64,600","64,300","135.144510000004","34.2580314999981","R02地価公示標準地"
